date, pm25, pm10, o3, no2, so2, co
2025/10/1, 44, 21, 64, 4, 2, 2
2025/10/2, 52, 27, 50, 3, 2, 3
2025/10/3, 43, 17, 39, 3, 2, 4
2025/10/4, 30, 16, 44, 4, 2, 4
2025/10/5, 29, 18, 40, 4, 2, 4
2025/10/6, 44, 17, 38, 3, 2, 3
2025/10/7, 40, 13, 35, 3, 2, 3
2025/10/8, 26, 24, 35, 3, 2, 3
2025/10/9, 37, 27, 35, 3, 2, 2
2025/10/10, 39, 24, 42, 4, 2, 2
2025/10/11, 39, 21, 41, 4, 2, 2
2025/10/12, 42, 22, 44, 5, 2, 3
2025/10/13, 54, 19, 35, 5, 2, 3
2025/10/14, 52, 12, 34, 4, 2, 2
2025/10/15, 26, 14, 32, 4, 1, 2
2025/10/16, 34, 22, 36, 3, 1, 2
2025/10/17, 31, 12, 34, 4, 1, 2
2025/10/18, 24, 19, 31, 4, 1, 2
2025/10/19, 39, 23, 41, 4, 1, 1
2025/10/20, 48, 23, 31, 5, 1, 2
2025/10/21, 50, 20, 36, 4, 1, 2
2025/10/22, 36, 19, 38, 4, 1, 1
2025/10/23, 36, 16, 38, 4, 1, 1
2025/10/24, 33, 20, 40, 4, 1, 2
2025/10/25, 43, 26, 46, 4, 1, 2
2025/10/26, 57, 38, 42, 4, 1, 3
2025/10/27, 81, , , , , 
2025/7/1, 48, 29, 25, 3, 2, 3
2025/7/2, 72, 27, 25, 4, 1, 2
2025/7/3, 68, 24, 26, 3, 2, 2
2025/7/4, 56, 17, 23, 3, 1, 2
2025/7/5, 33, 16, 21, 3, 1, 2
2025/7/6, 34, 11, 19, 3, 1, 1
2025/7/7, 26, 18, 40, 4, 1, 1
2025/7/8, 40, 32, 31, 3, 1, 2
2025/7/9, 63, 38, 28, 3, 1, 2
2025/7/10, 74, 38, 32, 3, 1, 2
2025/7/11, 62, 36, 27, 3, 1, 2
2025/7/12, 59, 13, 30, 4, 1, 2
2025/7/13, 34, 17, 46, 3, 1, 1
2025/7/14, 43, 27, 58, 4, 1, 2
2025/7/15, 55, 28, 49, 3, 1, 2
2025/7/16, 52, 27, 26, 3, 1, 2
2025/7/17, 52, 20, 26, 3, 1, 2
2025/7/18, 28, 30, 12, 3, 1, 1
2025/7/19, 38, 25, 15, 3, 2, 1
2025/7/20, 35, 26, 16, 3, 2, 2
2025/7/21, 34, 25, 13, 4, 3, 2
2025/7/22, 41, 28, 21, 4, 4, 1
2025/7/23, 61, 27, 43, 4, 2, 2
2025/7/24, 68, 18, 30, 4, 2, 2
2025/7/25, 36, 17, 30, 4, 2, 3
2025/7/26, 30, 19, 29, 4, 2, 3
2025/7/27, 30, 20, 24, 4, 2, 2
2025/7/28, 29, 18, 24, 4, 4, 2
2025/7/29, 36, 33, 19, 3, 3, 2
2025/7/30, 37, 32, 20, 3, 5, 2
2025/7/31, 39, 24, 41, 5, 2, 3
2025/8/1, 53, 26, 30, 4, 3, 2
2025/8/2, 57, 22, 28, 4, 2, 3
2025/8/3, 42, 36, 37, 3, 2, 4
2025/8/4, 56, 30, 32, 3, 2, 3
2025/8/5, 50, 36, 39, 3, 2, 2
2025/8/6, 55, 44, 55, 5, 1, 2
2025/8/7, 74, 24, 47, 5, 1, 2
2025/8/8, 51, 32, 50, 6, 2, 2
2025/8/9, 52, 32, 43, 5, 2, 2
2025/8/10, 54, 24, 40, 6, 2, 2
2025/8/11, 40, 26, 28, 3, 1, 1
2025/8/12, 39, 21, 14, 3, 1, 2
2025/8/13, 26, 18, 18, 4, 2, 2
2025/8/14, 24, 15, 23, 4, 2, 3
2025/8/15, 22, 14, 26, 4, 2, 3
2025/8/16, 21, 16, 26, 4, 2, 3
2025/8/17, 40, 19, 21, 4, 2, 2
2025/8/18, 44, 16, 17, 4, 3, 1
2025/8/19, 42, 14, 17, 4, 2, 1
2025/8/20, 26, 18, 23, 4, 3, 1
2025/8/21, 44, 19, 31, 4, 2, 2
2025/8/22, 43, 16, 30, 4, 2, 1
2025/8/23, 31, 14, 21, 4, 2, 1
2025/8/24, 23, 10, 17, 4, 2, 1
2025/8/25, 15, 15, 35, 4, 2, 1
2025/8/26, 25, 22, 49, 5, 2, 2
2025/8/27, 52, 18, 34, 5, 1, 2
2025/8/28, 32, 10, 23, 5, 1, 1
2025/8/29, 20, 16, 26, 5, 1, 2
2025/8/30, 35, 16, 21, 4, 2, 1
2025/8/31, 35, 15, 30, 4, 1, 1
2025/9/1, 20, 19, 33, 5, 1, 3
2025/9/2, 41, 20, 34, 4, 1, 1
2025/9/3, 35, 19, 34, 4, 1, 1
2025/9/4, 35, 18, 42, 4, 1, 2
2025/9/5, 39, 17, 27, 4, 1, 2
2025/9/6, 35, 20, 30, 4, 1, 3
2025/9/7, 46, 16, 26, 4, 1, 2
2025/9/8, 29, 17, 31, 5, 1, 2
2025/9/9, 27, 20, 38, 4, 1, 3
2025/9/10, 40, 24, 38, 4, 1, 2
2025/9/11, 42, 19, 39, 3, 1, 2
2025/9/12, 28, 24, 38, 4, 1, 3
2025/9/13, 43, 17, 39, 4, 1, 3
2025/9/14, 27, 16, 41, 5, 1, 3
2025/9/15, 26, 17, 22, 4, 1, 2
2025/9/16, 26, 17, 27, 4, 1, 1
2025/9/17, 26, 23, 40, 4, 1, 2
2025/9/18, 41, 21, 36, 3, 1, 2
2025/9/19, 32, 17, 47, 3, 1, 1
2025/9/20, 30, 21, 40, 4, 1, 1
2025/9/21, 37, 26, 34, 3, 1, 1
2025/9/22, 36, 27, 36, 4, 1, 2
2025/9/23, 41, 24, 27, 4, 1, 2
2025/9/24, 30, 11, 14, 5, 1, 3
2025/9/25, 15, 14, 14, 5, 1, 3
2025/9/26, 21, 14, 32, 4, 1, 3
2025/9/27, 22, 19, 40, 4, 1, 3
2025/9/28, 41, 15, 53, 4, 1, 3
2025/9/29, 35, 19, 44, 4, 1, 3
2025/9/30, 44, 18, 45, 4, 2, 2
2025/4/1, 82, 34, 56, 6, 1, 2
2025/4/2, 65, 36, 50, 5, 1, 2
2025/4/3, 76, 32, 50, 7, 1, 2
2025/4/4, 74, 30, 46, 5, 1, 2
2025/4/5, 66, 28, 49, 6, 1, 2
2025/4/6, 60, 36, 75, 7, 1, 2
2025/4/7, 64, 57, 76, 6, 1, 2
2025/4/8, 92, 44, 51, 7, 1, 2
2025/4/9, 75, 31, 57, 5, 1, 2
2025/4/10, 70, 36, 64, 6, 1, 3
2025/4/11, 73, 34, 56, 6, 1, 3
2025/4/12, 68, 59, 43, 3, 1, 2
2025/4/13, 58, 49, 46, 4, 1, 3
2025/4/14, 58, 24, 45, 4, 1, 3
2025/4/15, 48, 49, 78, 5, 1, 3
2025/4/16, 69, 53, 60, 4, 1, 3
2025/4/17, 67, 34, 43, 4, 1, 2
2025/4/18, 55, 21, 44, 3, 1, 2
2025/4/19, 40, 13, 35, 4, 1, 2
2025/4/20, 32, 21, 37, 4, 1, 3
2025/4/21, 48, 16, 32, 4, 1, 3
2025/4/22, 38, 21, 44, 4, 1, 3
2025/4/23, 37, 28, 47, 6, 1, 2
2025/4/24, 59, 39, 44, 3, 1, 2
2025/4/25, 55, 25, 54, 6, 1, 1
2025/4/26, 38, 23, 51, 7, 1, 1
2025/4/27, 43, 20, 50, 4, 1, 2
2025/4/28, 42, 35, 56, 5, 1, 2
2025/4/29, 64, 28, 58, 8, 1, 2
2025/4/30, 61, 23, 45, 4, 1, 1
2025/5/1, 44, 24, 49, 4, 1, 1
2025/5/2, 47, 30, 61, 5, 1, 2
2025/5/3, 54, 21, 50, 4, 1, 2
2025/5/4, 39, 22, 44, 5, 1, 1
2025/5/5, 44, 20, 44, 4, 1, 2
2025/5/6, 45, 28, 50, 6, 1, 2
2025/5/7, 59, 28, 50, 5, 1, 1
2025/5/8, 57, 26, 46, 4, 1, 2
2025/5/9, 44, 19, 46, 3, 1, 2
2025/5/10, 43, 29, 51, 5, 1, 3
2025/5/11, 67, 30, 63, 5, 1, 2
2025/5/12, 73, 30, 61, 5, 1, 2
2025/5/13, 73, 26, 57, 4, 1, 2
2025/5/14, 64, 21, 39, 4, 1, 2
2025/5/15, 52, 18, 28, 3, 1, 2
2025/5/16, 29, 13, 33, 4, 1, 1
2025/5/17, 24, 32, 44, 4, 1, 2
2025/5/18, 54, 31, 52, 6, 1, 3
2025/5/19, 56, 8, 34, 4, 1, 3
2025/5/20, 19, 10, 25, 5, 1, 4
2025/5/21, 11, 24, 37, 4, 1, 3
2025/5/22, 50, 28, 36, 3, 1, 3
2025/5/23, 52, 17, 38, 3, 1, 3
2025/5/24, 39, 22, 39, 3, 1, 2
2025/5/25, 58, 23, 51, 4, 1, 2
2025/5/26, 52, 23, 62, 4, 1, 2
2025/5/27, 56, 36, 72, 6, 1, 2
2025/5/28, 82, 30, 51, 5, 1, 2
2025/5/29, 74, 26, 60, 4, 1, 2
2025/5/30, 63, 27, 62, 4, 1, 2
2025/5/31, 66, 24, 57, 5, 1, 2
2025/6/1, 62, 16, 45, 4, 1, 2
2025/6/2, 43, 23, 53, 2, 1, 2
2025/6/3, 56, 27, 70, 4, 1, 3
2025/6/4, 50, 24, 54, 4, 2, 4
2025/6/5, 45, 21, 50, 5, 1, 3
2025/6/6, 38, 25, 42, 4, 1, 2
2025/6/7, 49, 20, 36, 5, 1, 2
2025/6/8, 56, 28, 34, 4, 2, 3
2025/6/9, 67, 22, 36, 5, 1, 3
2025/6/10, 62, 19, 40, 5, 1, 3
2025/6/11, 50, 15, 43, 5, 1, 2
2025/6/12, 39, 10, 31, 4, 1, 2
2025/6/13, 28, 18, 23, 3, 1, 2
2025/6/14, 30, 19, 29, 4, 1, 2
2025/6/15, 37, 15, 57, 3, 1, 2
2025/6/16, 32, 23, 61, 3, 1, 2
2025/6/17, 32, 26, 57, 5, 1, 2
2025/6/18, 57, 12, 25, 3, 1, 2
2025/6/19, 24, 8, 14, 3, 1, 2
2025/6/20, 16, 19, 20, 3, 1, 2
2025/6/21, 25, 17, 36, 4, 1, 2
2025/6/22, 26, 20, 44, 4, 1, 2
2025/6/23, 41, 15, 43, 4, 1, 3
2025/6/24, 32, 22, 42, 4, 1, 3
2025/6/25, 48, 27, 41, 4, 1, 2
2025/6/26, 61, 17, 31, 5, 1, 2
2025/6/27, 49, 9, 20, 2, 1, 2
2025/6/28, 19, 9, 20, 2, 1, 2
2025/6/29, 20, 9, 21, 3, 1, 2
2025/6/30, 21, 13, 20, 3, 2, 3
2025/1/1, 44, 51, 43, 5, 2, 3
2025/1/2, 79, 23, 33, 4, 1, 2
2025/1/3, 48, 23, 32, 5, 1, 2
2025/1/4, 55, 25, 39, 7, 1, 2
2025/1/5, 62, 41, 35, 5, 1, 3
2025/1/6, 92, 23, 29, 4, 1, 2
2025/1/7, 53, 28, 28, 5, 1, 2
2025/1/8, 64, 18, 30, 3, 1, 2
2025/1/9, 45, 16, 30, 3, 1, 2
2025/1/10, 42, 18, 33, 4, 1, 2
2025/1/11, 48, 27, 33, 5, 1, 2
2025/1/12, 64, 29, 36, 6, 1, 3
2025/1/13, 66, 56, 51, 8, 1, 3
2025/1/14, 99, 31, 34, 4, 1, 2
2025/1/15, 70, 23, 32, 4, 1, 2
2025/1/16, 52, 32, 32, 5, 1, 2
2025/1/17, 62, 24, 35, 6, 1, 2
2025/1/18, 57, 18, 36, 5, 1, 2
2025/1/19, 50, 46, 45, 8, 2, 4
2025/1/20, 109, 41, 39, 7, 1, 3
2025/1/21, 89, 30, 41, 7, 1, 3
2025/1/22, 67, 39, 44, 7, 2, 3
2025/1/23, 85, 48, 43, 9, 2, 3
2025/1/24, 112, 30, 34, 6, 1, 2
2025/1/25, 69, 26, 34, 5, 1, 2
2025/1/26, 63, 21, 31, 4, 1, 2
2025/1/27, 51, 19, 29, 3, 1, 2
2025/1/28, 48, 20, 32, 3, 1, 2
2025/1/29, 48, 21, 36, 5, 1, 2
2025/1/30, 52, 24, 38, 5, 1, 2
2025/1/31, 54, 19, 35, 3, 1, 2
2025/2/1, 45, 27, 38, 3, 1, 2
2025/2/2, 63, 31, 38, 2, 1, 3
2025/2/3, 69, 16, 35, 2, 1, 2
2025/2/4, 43, 22, 34, 2, 1, 2
2025/2/5, 54, 19, 34, 2, 1, 2
2025/2/6, 49, 28, 32, 2, 1, 2
2025/2/7, 56, 16, 31, 2, 1, 2
2025/2/8, 35, 12, 32, 2, 1, 2
2025/2/9, 31, 16, 36, 2, 1, 2
2025/2/10, 43, 33, 45, 5, 1, 3
2025/2/11, 62, 19, 38, 3, 1, 2
2025/2/12, 44, 24, 34, 2, 1, 2
2025/2/13, 45, 25, 37, 4, 1, 2
2025/2/14, 48, 23, 32, 6, 1, 2
2025/2/15, 54, 34, 49, 4, 1, 2
2025/2/16, 74, 43, 38, 3, 1, 3
2025/2/17, 65, 23, 35, 2, 1, 2
2025/2/18, 50, 26, 35, 2, 1, 3
2025/2/19, 54, 22, 36, 3, 1, 2
2025/2/20, 46, 22, 37, 3, 1, 2
2025/2/21, 47, 28, 38, 4, 1, 3
2025/2/22, 64, 24, 37, 3, 1, 2
2025/2/23, 55, 22, 36, 4, 1, 2
2025/2/24, 56, 21, 35, 5, 1, 1
2025/2/25, 48, 44, 57, 6, 1, 2
2025/2/26, 101, 47, 46, 8, 1, 2
2025/2/27, 112, 17, 42, 6, 1, 2
2025/2/28, 46, 17, 31, 5, 1, 2
2025/3/1, 46, 9, 30, 4, 1, 1
2025/3/2, 22, 20, 40, 3, 1, 1
2025/3/3, 31, 15, 34, 3, 1, 1
2025/3/4, 29, 15, 32, 4, 1, 1
2025/3/5, 35, 29, 44, 4, 1, 1
2025/3/6, 61, 34, 42, 4, 1, 2
2025/3/7, 77, 23, 40, 5, 1, 1
2025/3/8, 57, 33, 50, 5, 1, 2
2025/3/9, 78, 31, 41, 6, 1, 2
2025/3/10, 74, 31, 41, 5, 1, 1
2025/3/11, 64, 35, 42, 6, 1, 1
2025/3/12, 70, 44, 39, 4, 1, 1
2025/3/13, 68, 40, 38, 4, 1, 
2025/3/14, 51, 20, 38, 3, 1, 
2025/3/15, 40, 29, 41, 3, 1, 1
2025/3/16, 63, 32, 41, 3, 1, 1
2025/3/17, 61, 31, 43, 3, 1, 1
2025/3/18, 68, 28, 43, 3, 1, 1
2025/3/19, 64, 33, 49, 6, 1, 1
2025/3/20, 65, 52, 66, 7, 1, 1
2025/3/21, 96, 61, 76, 10, 2, 3
2025/3/22, 120, 51, 79, 8, 2, 2
2025/3/23, 105, 49, 69, 8, 1, 2
2025/3/24, 89, 53, 83, 7, 2, 3
2025/3/25, 102, 33, 46, 7, 1, 2
2025/3/26, 73, 27, 47, 5, 1, 2
2025/3/27, 55, 38, 41, 4, 1, 2
2025/3/28, 66, 28, 40, 4, 1, 2
2025/3/29, 51, 27, 40, 4, 1, 2
2025/3/30, 46, 39, 54, 6, 1, 2
2025/3/31, 70, 41, 52, 5, 1, 2
2024/10/1, 52, 21, 38, 3, 1, 1
2024/10/2, 45, 16, 35, 3, 1, 1
2024/10/3, 39, 12, 38, 3, 1, 1
2024/10/4, 24, 18, 43, 3, 1, 1
2024/10/5, 30, 15, 40, 3, 1, 1
2024/10/6, 29, 15, 59, 3, 1, 1
2024/10/7, 39, 29, 55, 3, 1, 2
2024/10/8, 67, 18, 41, 3, 1, 1
2024/10/9, 44, 18, 40, 3, 1, 1
2024/10/10, 36, 18, 41, 3, 1, 2
2024/10/11, 47, 20, 48, 4, 1, 2
2024/10/12, 50, 19, 42, 3, 1, 1
2024/10/13, 45, 24, 37, 4, 1, 1
2024/10/14, 56, 21, 34, 4, 1, 1
2024/10/15, 53, 20, 41, 3, 1, 2
2024/10/16, 49, 30, 34, 3, 1, 2
2024/10/17, 55, 22, 31, 3, 1, 1
2024/10/18, 41, 20, 33, 3, 1, 2
2024/10/19, 39, 24, 31, 2, 1, 1
2024/10/20, 41, 24, 29, 3, 1, 1
2024/10/21, 45, 19, 29, 3, 1, 1
2024/10/22, 35, 20, 35, 3, 1, 1
2024/10/23, 40, 17, 40, 3, 1, 1
2024/10/24, 40, 23, 36, 3, 1, 1
2024/10/25, 44, 23, 30, 3, 1, 1
2024/10/26, 42, 17, 37, 3, 1, 1
2024/10/27, 44, 30, 39, 3, 1, 2
2024/10/28, 69, 22, 36, 3, 1, 2
2024/10/29, 45, 21, 43, 4, 1, 2
2024/10/30, 48, 24, 37, 3, 1, 1
2024/10/31, 51, 12, 37, 2, 1, 1
2024/11/1, 22, 11, 34, 3, 1, 1
2024/11/2, 24, , , , , 
2024/11/8, 42, 17, 33, 3, 1, 1
2024/11/9, 37, 16, 31, 3, 1, 1
2024/11/10, 40, 21, 38, 3, 1, 1
2024/11/11, 49, 25, 43, 3, 1, 2
2024/11/12, 66, 30, 39, 4, 1, 2
2024/11/13, 59, 27, 34, 3, 1, 1
2024/11/14, 49, 19, 30, 3, 1, 2
2024/11/15, 43, 25, 30, 3, 1, 2
2024/11/16, 58, 23, 33, 2, 1, 2
2024/11/17, 50, 21, 32, 3, 1, 1
2024/11/18, 41, 20, 30, 4, 1, 1
2024/11/19, 42, 17, 33, 5, 1, 2
2024/11/20, 43, 31, 42, 4, 1, 2
2024/11/21, 68, 31, 40, 4, 1, 2
2024/11/22, 61, 21, 30, 3, 1, 2
2024/11/23, 44, 18, 29, 4, 1, 2
2024/11/24, 46, 19, 36, 3, 1, 2
2024/11/25, 31, 26, 32, 3, 1, 3
2024/11/26, 45, 27, 30, 3, 1, 2
2024/11/27, 48, 27, 33, 4, 1, 2
2024/11/28, 50, 24, 33, 3, 1, 3
2024/11/29, 48, 25, 33, 3, 1, 2
2024/11/30, 47, 23, 38, 4, 1, 2
2024/12/1, 48, 41, 57, 7, 1, 3
2024/12/2, 77, 34, 34, 4, 1, 3
2024/12/3, 58, 19, 36, 3, 1, 2
2024/12/4, 39, 34, 36, 4, 1, 3
2024/12/5, 65, 38, 34, 5, 1, 2
2024/12/6, 75, 25, 33, 4, 1, 2
2024/12/7, 49, 23, 30, 3, 1, 2
2024/12/8, 46, 23, 33, 4, 1, 2
2024/12/9, 49, 23, 32, 4, 1, 2
2024/12/10, 49, 25, 35, 4, 1, 2
2024/12/11, 61, 21, 32, 4, 1, 1
2024/12/12, 42, 17, 31, 4, 1, 2
2024/12/13, 43, 21, 32, 3, 1, 2
2024/12/14, 46, 29, 31, 3, 1, 2
2024/12/15, 57, 30, 32, 4, 1, 2
2024/12/16, 58, 30, 34, 5, 1, 2
2024/12/17, 63, 21, 31, 3, 1, 2
2024/12/18, 53, 22, 30, 5, 1, 2
2024/12/19, 48, 20, 26, 6, 1, 2
2024/12/20, 49, 30, 32, 4, 1, 2
2024/12/21, 63, 23, 31, 2, 1, 2
2024/12/22, 46, 20, 33, 3, 1, 2
2024/12/23, 43, 24, 33, 4, 1, 2
2024/12/24, 52, 22, 35, 4, 1, 2
2024/12/25, 48, 41, 34, 4, 1, 2
2024/12/26, 73, 22, 34, 3, 1, 2
2024/12/27, 45, 23, 31, 3, 1, 2
2024/12/28, 49, 26, 32, 4, 1, 2
2024/12/29, 55, , , , , 
2024/7/1, 26, 24, 15, 3, 1, 2
2024/7/2, 32, 20, 19, 4, 1, 2
2024/7/3, 30, 15, 25, 3, 1, 1
2024/7/4, 27, 14, 21, 3, 1, 1
2024/7/5, 18, 19, 18, 3, 2, 1
2024/7/6, 34, 24, 19, 3, 2, 1
2024/7/7, 36, 24, 23, 3, 2, 1
2024/7/8, 35, 26, 22, 3, 2, 1
2024/7/9, 36, 26, 29, 3, 2, 1
2024/7/10, 47, 23, 39, 4, 2, 2
2024/7/11, 43, 23, 41, 4, 2, 3
2024/7/12, 57, 19, 37, 4, 2, 2
2024/7/13, 37, 17, 30, 3, 1, 2
2024/7/14, 25, 21, 33, 5, 1, 2
2024/7/15, 36, 18, 18, 2, 1, 2
2024/7/16, 19, 15, 15, 3, 1, 2
2024/7/17, 22, 25, 33, 3, 2, 1
2024/7/18, 35, 28, 35, 3, 2, 1
2024/7/19, 46, 22, 18, 2, 2, 1
2024/7/20, 32, 18, 16, 2, 2, 1
2024/7/21, 28, 16, 15, 2, 1, 1
2024/7/22, 21, 16, 14, 3, 2, 2
2024/7/23, 20, 25, 14, 3, 2, 2
2024/7/24, 23, 44, 12, 3, 1, 2
2024/7/25, 33, 41, 18, 3, 1, 2
2024/7/26, 45, 48, 16, 2, 1, 2
2024/7/27, 51, 25, 15, 2, 1, 2
2024/7/28, 26, 18, 17, 3, 1, 2
2024/7/29, 24, 17, 18, 4, 1, 2
2024/7/30, 22, 15, 16, 4, 1, 2
2024/7/31, 20, 20, 26, 3, 1, 2
2024/8/1, 33, 24, 35, 3, 1, 2
2024/8/2, 48, 24, 30, 4, 1, 2
2024/8/3, 49, 23, 31, 5, 1, 3
2024/8/4, 51, 23, 38, 4, 1, 3
2024/8/5, 58, 20, 30, 4, 1, 3
2024/8/6, 49, 23, 46, 4, 1, 3
2024/8/7, 61, 20, 38, 4, 1, 3
2024/8/8, 53, 23, 29, 5, 1, 2
2024/8/9, 61, 22, 33, 5, 1, 2
2024/8/10, 53, 18, 37, 4, 1, 2
2024/8/11, 39, 19, 43, 4, 1, 2
2024/8/12, 44, 20, 38, 4, 1, 2
2024/8/13, 41, 20, 29, 4, 1, 2
2024/8/14, 44, 17, 26, 4, 1, 2
2024/8/15, 43, 16, 37, 4, 1, 1
2024/8/16, 29, 19, 25, 3, 1, 1
2024/8/17, 36, 18, 26, 3, 1, 2
2024/8/18, 32, 25, 28, 4, 2, 2
2024/8/19, 57, 24, 24, 3, 1, 1
2024/8/20, 37, 26, 21, 2, 1, 2
2024/8/21, 30, 24, 44, 2, 1, 2
2024/8/22, 44, 41, 62, 2, 1, 4
2024/8/23, 84, 36, 49, 2, 1, 3
2024/8/24, 81, 33, 48, 2, 1, 3
2024/8/25, 75, 30, 45, 2, 1, 2
2024/8/26, 68, 22, 34, 3, 1, 1
2024/8/27, 53, 25, 30, 3, 1, 1
2024/8/28, 41, 16, 42, 3, 1, 1
2024/8/29, 31, 13, 33, 3, 1, 1
2024/8/30, 25, 19, 49, 3, 1, 1
2024/8/31, 41, 23, 58, 3, 1, 2
2024/9/1, 54, 24, 47, 4, 1, 2
2024/9/2, 58, 22, 43, 3, 1, 2
2024/9/3, 52, 22, 37, 3, 1, 2
2024/9/4, 38, 26, 44, 4, 1, 2
2024/9/5, 53, 29, 36, 4, 1, 2
2024/9/6, 64, 31, 32, 3, 2, 1
2024/9/7, 80, 28, 27, 4, 2, 2
2024/9/8, 70, 27, 33, 3, 1, 2
2024/9/9, 66, 25, 31, 3, 2, 2
2024/9/10, 50, 19, 10, 3, 1, 1
2024/9/11, 29, 22, 14, 3, 2, 1
2024/9/12, 25, 21, 24, 4, 2, 1
2024/9/13, 44, 19, 31, 3, 2, 1
2024/9/14, 46, 21, 23, 3, 2, 2
2024/9/15, 41, 22, 13, 3, 2, 1
2024/9/16, 33, 16, 18, 4, 2, 1
2024/9/17, 32, 18, 26, 3, 2, 1
2024/9/18, 43, 27, 14, 3, 2, 1
2024/9/19, 41, 30, 16, 2, 1, 1
2024/9/20, 38, 26, 22, 2, 1, 1
2024/9/21, 36, 9, 27, 3, 1, 1
2024/9/22, 19, 22, 29, 3, 1, 1
2024/9/23, 30, 22, 32, 3, 1, 1
2024/9/24, 31, 20, 29, 3, 1, 1
2024/9/25, 36, 18, 35, 3, 1, 1
2024/9/26, 40, 22, 49, 4, 1, 1
2024/9/27, 54, 22, 38, 3, 1, 1
2024/9/28, 39, 25, 38, 3, 1, 1
2024/9/29, 44, 25, 39, 3, 1, 1
2024/9/30, 42, 24, 36, 3, 1, 1
2024/4/1, 67, 27, 45, 6, 1, 3
2024/4/2, 53, 24, 38, 6, 1, 3
2024/4/3, 43, 30, 39, 4, 1, 2
2024/4/4, 47, 43, 46, 4, 1, 1
2024/4/5, 67, 38, 49, 6, 1, 2
2024/4/6, 71, 33, 62, 5, 1, 2
2024/4/7, 68, 41, 51, 6, 1, 2
